Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2020-08-11,517.1271362304688,525.8276036075853,514.2093510203493,515.945893504202,576800
2020-08-12,520.3003540039062,533.9460565166519,515.1523865094084,521.9752377657812,612200
2020-08-13,519.701171875,524.7610125421227,517.1976687691997,517.1976687691997,359700
2020-08-14,518.7313842773438,522.2574106166586,514.8527337829406,518.8635779833328,316700
2020-08-17,521.8782958984375,524.9723383819302,518.2288462374345,520.9086065096677,411100
2020-08-18,519.392578125,524.2849295122038,519.031130251126,521.0498150126252,456200
2020-08-19,519.8685302734375,524.9812579199564,519.0310882220408,522.1428324227845,418700
2020-08-20,514.2357177734375,518.555121974866,512.1906158439825,515.5756251279176,552400
2020-08-21,514.8350219726562,518.3258069805436,512.9750562242451,516.0426815384311,418400
2020-08-24,521.3671264648438,521.5786794554487,515.0555086296799,517.7793878909606,381600
2020-08-25,521.1027221679688,524.1438773278499,520.1947444155423,524.0116836007988,373300
2020-08-26,521.9400634765625,525.1135196832988,518.2377786063806,521.3759401134303,540200
2020-08-27,524.478759765625,527.9343042446922,521.8430637400195,522.6805057388468,428900
2020-08-28,529.8383178710938,530.0586945057156,521.931230046249,525.0340964757597,436000
2020-08-31,523.7823486328125,532.5004608179504,523.3239480365488,531.1253128320462,581700
2020-09-01,525.5894775390625,529.8031048400062,522.8656523215134,524.2672176617962,402800
2020-09-02,535.9560546875,537.4458031100467,523.7824497421909,526.9117876561849,684200
2020-09-03,513.5643310546875,536.9138229171949,508.75788347724034,535.7432387823603,739200
2020-09-04,500.714599609375,517.971771609029,494.71093776069046,515.9498387563473,822100
2020-09-08,489.9932556152344,497.2916683830214,485.96719650186157,496.599937268803,837100
2020-09-09,496.76837158203125,500.24461770357874,492.46740670370644,498.04536768550605,830500
2020-09-10,481.8079833984375,498.3468483073278,479.94572242994246,498.0630654131285,891000
2020-09-11,479.93682861328125,485.4793362096882,476.97488873829906,482.84550845432926,660900
2020-09-14,485.4173889160156,490.58745659814366,481.772647895076,483.34224967811423,631400
2020-09-15,486.1088562011719,490.78231521314234,485.32852104672486,490.498532372415,626400
2020-09-16,498.14276123046875,502.70980851515276,486.6764295797554,489.35458620406706,1003900
2020-09-17,486.3306579589844,492.88413229806963,482.872165500862,492.1303728731857,1033500
2020-09-18,493.8772888183594,495.8637147644206,486.3838081616168,486.3838081616168,2989100
2020-09-21,490.0374755859375,493.7354212585327,481.10738143209795,486.52572351580307,659600
2020-09-22,488.4501037597656,493.54921080200165,482.8898968863814,488.76051666405425,565600
2020-09-23,477.5779113769531,490.285788063902,477.1433874376439,488.0155790969806,511400
2020-09-24,474.4831237792969,480.7439400990833,471.60989562773295,476.46072789680284,552800
2020-09-25,485.7985534667969,486.7651905708779,471.2372932100411,472.6207008892621,486400
2020-09-28,495.4115295410156,500.1026885694493,491.2878821648431,491.6780768716767,567000
2020-09-29,491.9972839355469,498.5596343192569,489.8423635628489,496.75052527102997,409700
2020-09-30,499.7568359375,506.26598095824824,492.27223118763436,494.1256696242211,741100
2020-10-01,503.6232604980469,512.7839323189371,502.080235024804,511.54244307803026,551300
2020-10-02,505.5829772949219,509.6179109838409,495.8813722761346,497.087408635163,523400
